locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKPNOOPC_00001	CDS	522	atpC			V-type ATP synthase subunit C
EKPNOOPC_00002	CDS	306	atpF		COG1436	V-type ATP synthase subunit F
EKPNOOPC_00003	CDS	1806	atpA	7.1.2.2	COG1155	V-type ATP synthase alpha chain
EKPNOOPC_00004	CDS	1383	atpB		COG1156	V-type ATP synthase beta chain
EKPNOOPC_00005	CDS	624	atpD		COG1394	V-type ATP synthase subunit D
EKPNOOPC_00006	CDS	741	glcV	7.5.2.-	COG3839	Glucose import ATP-binding protein GlcV
EKPNOOPC_00007	CDS	768				hypothetical protein
EKPNOOPC_00008	CDS	1161	maeA	1.1.1.38		NAD-dependent malic enzyme
EKPNOOPC_00009	CDS	267				hypothetical protein
EKPNOOPC_00010	CDS	939				hypothetical protein
EKPNOOPC_00011	CDS	996	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
EKPNOOPC_00012	CDS	612	ogg		COG1059	N-glycosylase/DNA lyase
EKPNOOPC_00013	CDS	465				hypothetical protein
EKPNOOPC_00014	CDS	663		3.2.2.-		G/T mismatches repair enzyme
EKPNOOPC_00015	CDS	714	alaXM		COG2872	Alanyl-tRNA editing protein AlaX-M
EKPNOOPC_00016	CDS	564				hypothetical protein
EKPNOOPC_00017	CDS	894				hypothetical protein
EKPNOOPC_00018	CDS	378				hypothetical protein
EKPNOOPC_00019	CDS	252				hypothetical protein
EKPNOOPC_00020	CDS	1209				hypothetical protein
EKPNOOPC_00021	CDS	432				hypothetical protein
EKPNOOPC_00022	CDS	1482				hypothetical protein
EKPNOOPC_00023	CDS	378				hypothetical protein
EKPNOOPC_00024	CDS	1650				hypothetical protein
EKPNOOPC_00025	CDS	162				hypothetical protein
EKPNOOPC_00026	CDS	258				hypothetical protein
EKPNOOPC_00027	CDS	483				hypothetical protein
EKPNOOPC_00028	CDS	1467				hypothetical protein
EKPNOOPC_00029	CDS	1752				hypothetical protein
EKPNOOPC_00030	CDS	909	moaA_1			GTP 3',8-cyclase
EKPNOOPC_00031	CDS	975	moaA_2			GTP 3',8-cyclase
EKPNOOPC_00032	CDS	963	moaA_3			GTP 3',8-cyclase
EKPNOOPC_00033	CDS	888				hypothetical protein
EKPNOOPC_00034	CDS	1542				hypothetical protein
EKPNOOPC_00035	CDS	1122				hypothetical protein
EKPNOOPC_00036	CDS	132				hypothetical protein
EKPNOOPC_00037	CDS	231				hypothetical protein
EKPNOOPC_00038	CDS	546				hypothetical protein
EKPNOOPC_00039	CDS	1134				hypothetical protein
EKPNOOPC_00040	CDS	690	aglJ_1	2.4.1.-	COG0463	Glycosyltransferase AglJ
EKPNOOPC_00041	CDS	549	iorB	1.2.7.8	COG1014	Indolepyruvate oxidoreductase subunit IorB
EKPNOOPC_00042	CDS	1560	iorA	1.2.7.8	COG4231	Indolepyruvate oxidoreductase subunit IorA
EKPNOOPC_00043	CDS	453	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EKPNOOPC_00044	CDS	1353	gdhA_1	1.4.1.3		Glutamate dehydrogenase
EKPNOOPC_00045	tRNA	88				tRNA-Phe(aaa)
EKPNOOPC_00046	CDS	567				hypothetical protein
EKPNOOPC_00047	CDS	771				Iron-sulfur cluster carrier protein
EKPNOOPC_00048	CDS	453				hypothetical protein
EKPNOOPC_00049	CDS	495				hypothetical protein
EKPNOOPC_00050	CDS	1209				hypothetical protein
EKPNOOPC_00051	CDS	348	nac		COG1308	Nascent polypeptide-associated complex protein
EKPNOOPC_00052	CDS	180				hypothetical protein
EKPNOOPC_00053	CDS	891	ttuA	2.8.1.-	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
EKPNOOPC_00054	CDS	1089	tgtA	2.4.2.48	COG0343	tRNA-guanine(15) transglycosylase
EKPNOOPC_00055	CDS	1860	purF_1	2.4.2.14		Amidophosphoribosyltransferase
EKPNOOPC_00056	CDS	1110				hypothetical protein
EKPNOOPC_00057	CDS	1455				hypothetical protein
EKPNOOPC_00058	CDS	1422				hypothetical protein
EKPNOOPC_00059	CDS	1224				hypothetical protein
EKPNOOPC_00060	CDS	1494				hypothetical protein
EKPNOOPC_00061	CDS	627				hypothetical protein
EKPNOOPC_00062	CDS	1476				hypothetical protein
EKPNOOPC_00063	CDS	1482				hypothetical protein
EKPNOOPC_00064	CDS	1434				hypothetical protein
EKPNOOPC_00065	CDS	1689				hypothetical protein
EKPNOOPC_00066	CDS	1509				hypothetical protein
EKPNOOPC_00067	CDS	696	aglD_1	2.4.1.-	COG0392	Glycosyltransferase AglD
EKPNOOPC_00068	CDS	1041				hypothetical protein
EKPNOOPC_00069	CDS	864				hypothetical protein
EKPNOOPC_00070	CDS	975				hypothetical protein
EKPNOOPC_00071	CDS	1293	gatD	6.3.5.-	COG0252	Glutamyl-tRNA(Gln) amidotransferase subunit D
EKPNOOPC_00072	CDS	1452	GATB	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
EKPNOOPC_00073	CDS	1719	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
EKPNOOPC_00074	CDS	498				hypothetical protein
EKPNOOPC_00075	CDS	2673	kdpB	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
EKPNOOPC_00076	CDS	1713				hypothetical protein
EKPNOOPC_00077	CDS	453				hypothetical protein
EKPNOOPC_00078	CDS	369				hypothetical protein
EKPNOOPC_00079	CDS	2667	ppsA_1	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
EKPNOOPC_00080	CDS	1104				hypothetical protein
EKPNOOPC_00081	CDS	192				hypothetical protein
EKPNOOPC_00082	CDS	1197				hypothetical protein
EKPNOOPC_00083	CDS	477	cdd	3.5.4.5		Cytidine deaminase
EKPNOOPC_00084	CDS	975	truD	5.4.99.27	COG0585	putative tRNA pseudouridine synthase D
EKPNOOPC_00085	CDS	1179				hypothetical protein
EKPNOOPC_00086	CDS	1602				hypothetical protein
EKPNOOPC_00087	CDS	1173				hypothetical protein
EKPNOOPC_00088	CDS	1641				hypothetical protein
EKPNOOPC_00089	CDS	2586				hypothetical protein
EKPNOOPC_00090	CDS	651	adk	2.7.4.3	COG0563	Adenylate kinase
EKPNOOPC_00091	CDS	465				hypothetical protein
EKPNOOPC_00092	tRNA	73				tRNA-Thr(tgt)
EKPNOOPC_00093	CDS	597				hypothetical protein
EKPNOOPC_00094	CDS	666				hypothetical protein
EKPNOOPC_00095	CDS	357				hypothetical protein
EKPNOOPC_00096	CDS	1200	OLA1			Obg-like ATPase 1
EKPNOOPC_00097	CDS	666	mnmC	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EKPNOOPC_00098	CDS	1704	ycdX	3.1.3.-		phosphatase YcdX
EKPNOOPC_00099	CDS	114				hypothetical protein
EKPNOOPC_00100	CDS	375				hypothetical protein
EKPNOOPC_00101	CDS	396				hypothetical protein
EKPNOOPC_00102	CDS	633	der_1			GTPase Der
EKPNOOPC_00103	CDS	1170				hypothetical protein
EKPNOOPC_00104	CDS	1221				hypothetical protein
EKPNOOPC_00105	CDS	312				hypothetical protein
EKPNOOPC_00106	CDS	837	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
EKPNOOPC_00107	CDS	723	nagB	3.5.99.6		Glucosamine-6-phosphate deaminase
EKPNOOPC_00108	CDS	816	tal	2.2.1.2	COG0176	putative transaldolase
EKPNOOPC_00109	CDS	1413	zwf	1.1.1.49		Glucose-6-phosphate 1-dehydrogenase
EKPNOOPC_00110	CDS	927	gndA	1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
EKPNOOPC_00111	CDS	132				hypothetical protein
EKPNOOPC_00112	CDS	237				hypothetical protein
EKPNOOPC_00113	CDS	903	sudA	1.8.1.19	COG0493	Sulfide dehydrogenase subunit alpha
EKPNOOPC_00114	CDS	702	hydG	1.12.98.4	COG0543	Sulfhydrogenase 1 subunit gamma
EKPNOOPC_00115	CDS	360				hypothetical protein
EKPNOOPC_00116	CDS	711	cysH	1.8.4.8		Phosphoadenosine phosphosulfate reductase
EKPNOOPC_00117	CDS	933	cysO	4.2.1.22	COG0031	Protein CysO
EKPNOOPC_00118	CDS	747	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
EKPNOOPC_00119	CDS	876				hypothetical protein
EKPNOOPC_00120	CDS	819	napF_1			Ferredoxin-type protein NapF
EKPNOOPC_00121	CDS	516				hypothetical protein
EKPNOOPC_00122	CDS	642	glgC_1	2.7.7.27		Glucose-1-phosphate adenylyltransferase
EKPNOOPC_00123	CDS	705	glgC_2	2.7.7.27		Glucose-1-phosphate adenylyltransferase
EKPNOOPC_00124	CDS	750	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EKPNOOPC_00125	CDS	963	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
EKPNOOPC_00126	CDS	558	bdbC			disulfide formation protein
EKPNOOPC_00127	CDS	351				hypothetical protein
EKPNOOPC_00128	CDS	597				hypothetical protein
EKPNOOPC_00129	CDS	678				hypothetical protein
EKPNOOPC_00130	CDS	243				hypothetical protein
EKPNOOPC_00131	CDS	393				hypothetical protein
EKPNOOPC_00132	CDS	1203				hypothetical protein
EKPNOOPC_00133	CDS	225				hypothetical protein
EKPNOOPC_00134	CDS	750				hypothetical protein
EKPNOOPC_00135	CDS	204				hypothetical protein
EKPNOOPC_00136	CDS	741				hypothetical protein
EKPNOOPC_00137	CDS	1740				hypothetical protein
EKPNOOPC_00138	CDS	480				hypothetical protein
EKPNOOPC_00139	CDS	1185				hypothetical protein
EKPNOOPC_00140	CDS	609				hypothetical protein
EKPNOOPC_00141	CDS	285				hypothetical protein
EKPNOOPC_00142	CDS	276				hypothetical protein
EKPNOOPC_00143	CDS	1335				hypothetical protein
EKPNOOPC_00144	CDS	414				hypothetical protein
EKPNOOPC_00145	CDS	213				hypothetical protein
EKPNOOPC_00146	CDS	879				hypothetical protein
EKPNOOPC_00147	CDS	2889				hypothetical protein
EKPNOOPC_00148	CDS	945				hypothetical protein
EKPNOOPC_00149	CDS	1293	eno	4.2.1.11	COG0148	Enolase
EKPNOOPC_00150	CDS	663	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EKPNOOPC_00151	CDS	468				hypothetical protein
EKPNOOPC_00152	CDS	666		3.6.4.12	COG1204	ATP-dependent DNA helicase Hel308
EKPNOOPC_00153	CDS	237				hypothetical protein
EKPNOOPC_00154	CDS	1245	ftsY			Signal recognition particle receptor FtsY
EKPNOOPC_00155	CDS	414	pfdA		COG1730	Prefoldin subunit alpha
EKPNOOPC_00156	CDS	804	scpA			Segregation and condensation protein A
EKPNOOPC_00157	CDS	1086	pgk2	2.7.2.-	COG2074	2-phosphoglycerate kinase
EKPNOOPC_00158	CDS	621				hypothetical protein
EKPNOOPC_00159	CDS	945	taw1	4.1.3.44	COG0731	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase
EKPNOOPC_00160	CDS	489				hypothetical protein
EKPNOOPC_00161	CDS	1686	thyA	2.1.1.45		Thymidylate synthase
EKPNOOPC_00162	CDS	120				hypothetical protein
EKPNOOPC_00163	CDS	687	tmk_1	2.7.4.9		Thymidylate kinase
EKPNOOPC_00164	CDS	258				hypothetical protein
EKPNOOPC_00165	CDS	387				hypothetical protein
EKPNOOPC_00166	CDS	237				hypothetical protein
EKPNOOPC_00167	CDS	318	tfs			Transcription factor S
EKPNOOPC_00168	CDS	720				hypothetical protein
EKPNOOPC_00169	CDS	936				hypothetical protein
EKPNOOPC_00170	CDS	585				hypothetical protein
EKPNOOPC_00171	CDS	852				hypothetical protein
EKPNOOPC_00172	CDS	303				hypothetical protein
