locus_tag	ftype	length_bp	gene	EC_number	COG	product
POOPECCE_00001	CDS	3774				hypothetical protein
POOPECCE_00002	CDS	1407				hypothetical protein
POOPECCE_00003	CDS	960				hypothetical protein
POOPECCE_00004	CDS	531	apt	2.4.2.7		Adenine phosphoribosyltransferase
POOPECCE_00005	CDS	750	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
POOPECCE_00006	CDS	1710	ycdX	3.1.3.-		phosphatase YcdX
POOPECCE_00007	CDS	249				hypothetical protein
POOPECCE_00008	CDS	942		2.1.1.-	COG0144	tRNA (cytosine(49)-C(5))-methyltransferase
POOPECCE_00009	CDS	390				hypothetical protein
POOPECCE_00010	CDS	1476				hypothetical protein
POOPECCE_00011	CDS	1683		2.3.1.-	COG1243	tRNA uridine(34) acetyltransferase
POOPECCE_00012	CDS	963	maX1_1		COG0530	Sodium/calcium exchanger MaX1
POOPECCE_00013	CDS	195				hypothetical protein
POOPECCE_00014	CDS	564				hypothetical protein
POOPECCE_00015	CDS	2661	kdpB	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
POOPECCE_00016	CDS	795				hypothetical protein
POOPECCE_00017	CDS	492	spt5		COG0250	Transcription elongation factor Spt5
POOPECCE_00018	CDS	195				hypothetical protein
POOPECCE_00019	CDS	1260	ftsZ1		COG0206	Cell division protein FtsZ 1
POOPECCE_00020	CDS	654		5.2.1.8	COG1047	Putative FKBP-type peptidyl-prolyl cis-trans isomerase
POOPECCE_00021	CDS	543		2.7.4.3	COG1936	Putative adenylate kinase
POOPECCE_00022	CDS	384				hypothetical protein
POOPECCE_00023	CDS	192				Ferredoxin
POOPECCE_00024	CDS	237				hypothetical protein
POOPECCE_00025	CDS	597	ogg		COG1059	N-glycosylase/DNA lyase
POOPECCE_00026	CDS	204				hypothetical protein
POOPECCE_00027	CDS	795	rpl1			50S ribosomal protein L1
POOPECCE_00028	CDS	1167				hypothetical protein
POOPECCE_00029	CDS	315				hypothetical protein
POOPECCE_00030	CDS	888				hypothetical protein
POOPECCE_00031	CDS	303				hypothetical protein
POOPECCE_00032	CDS	471				hypothetical protein
POOPECCE_00033	CDS	186	spt4		COG2093	Transcription elongation factor Spt4
POOPECCE_00034	CDS	585	rpoE1	2.7.7.6	COG1095	DNA-directed RNA polymerase subunit E'
POOPECCE_00035	CDS	1179				hypothetical protein
POOPECCE_00036	CDS	363				hypothetical protein
POOPECCE_00037	CDS	768	nfo	3.1.21.2		endonuclease 4
POOPECCE_00038	CDS	1194			COG0025	Na(+)/H(+) antiporter 1
POOPECCE_00039	CDS	225				hypothetical protein
POOPECCE_00040	CDS	312	tfs			Transcription factor S
POOPECCE_00041	CDS	576				hypothetical protein
