locus_tag	ftype	length_bp	gene	EC_number	COG	product
IPNMMEFH_00001	CDS	93				hypothetical protein
IPNMMEFH_00002	CDS	822				hypothetical protein
IPNMMEFH_00003	CDS	414	rplP_1		COG0197	50S ribosomal protein L16
IPNMMEFH_00004	CDS	1113	gfo_1	1.1.99.28		Glucose--fructose oxidoreductase
IPNMMEFH_00005	CDS	504				hypothetical protein
IPNMMEFH_00006	CDS	2955				hypothetical protein
IPNMMEFH_00007	CDS	3666	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
IPNMMEFH_00008	CDS	2409				hypothetical protein
IPNMMEFH_00009	CDS	735				hypothetical protein
IPNMMEFH_00010	CDS	1437				hypothetical protein
IPNMMEFH_00011	CDS	837				hypothetical protein
IPNMMEFH_00012	CDS	936			COG0659	putative sulfate transporter
IPNMMEFH_00013	CDS	897	wbjC	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
IPNMMEFH_00014	CDS	1137	wbpI_1	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
IPNMMEFH_00015	CDS	546				hypothetical protein
IPNMMEFH_00016	CDS	813				hypothetical protein
IPNMMEFH_00017	CDS	2034				hypothetical protein
IPNMMEFH_00018	CDS	747	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IPNMMEFH_00019	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
IPNMMEFH_00020	CDS	939	lpxD_1	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
IPNMMEFH_00021	CDS	567	efp		COG0231	Elongation factor P
IPNMMEFH_00022	CDS	789	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
IPNMMEFH_00023	CDS	1410	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
IPNMMEFH_00024	CDS	306	lpxD_2	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
IPNMMEFH_00025	CDS	903				hypothetical protein
IPNMMEFH_00026	CDS	684				hypothetical protein
IPNMMEFH_00027	CDS	495				hypothetical protein
IPNMMEFH_00028	CDS	273				hypothetical protein
IPNMMEFH_00029	CDS	540				hypothetical protein
IPNMMEFH_00030	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
IPNMMEFH_00031	CDS	2205	katG	1.11.1.21	COG0376	Catalase-peroxidase
IPNMMEFH_00032	CDS	93				hypothetical protein
IPNMMEFH_00033	CDS	1446				hypothetical protein
IPNMMEFH_00034	CDS	414				hypothetical protein
IPNMMEFH_00035	CDS	723				hypothetical protein
IPNMMEFH_00036	CDS	981				hypothetical protein
IPNMMEFH_00037	CDS	945				hypothetical protein
IPNMMEFH_00038	CDS	765				hypothetical protein
IPNMMEFH_00039	CDS	846				hypothetical protein
IPNMMEFH_00040	CDS	384				hypothetical protein
IPNMMEFH_00041	CDS	1089				hypothetical protein
