locus_tag	ftype	length_bp	gene	EC_number	COG	product
PBHNMHAL_00001	CDS	489				hypothetical protein
PBHNMHAL_00002	CDS	285				hypothetical protein
PBHNMHAL_00003	CDS	879				hypothetical protein
PBHNMHAL_00004	CDS	939	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PBHNMHAL_00005	CDS	840				hypothetical protein
PBHNMHAL_00006	CDS	279				hypothetical protein
PBHNMHAL_00007	CDS	690	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PBHNMHAL_00008	CDS	1188				hypothetical protein
PBHNMHAL_00009	CDS	291				hypothetical protein
PBHNMHAL_00010	CDS	519	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PBHNMHAL_00011	CDS	570				hypothetical protein
PBHNMHAL_00012	CDS	426	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PBHNMHAL_00013	CDS	834				hypothetical protein
PBHNMHAL_00014	CDS	615				hypothetical protein
PBHNMHAL_00015	CDS	372	rpl7ae		COG1358	50S ribosomal protein L7Ae
PBHNMHAL_00016	CDS	213			COG2053	30S ribosomal protein S28e
PBHNMHAL_00017	CDS	207			COG2075	50S ribosomal protein L24e
PBHNMHAL_00018	CDS	576	rfcS		COG0470	Replication factor C small subunit
PBHNMHAL_00019	CDS	1446	rfcL		COG0470	Replication factor C large subunit
PBHNMHAL_00020	CDS	1017		2.1.1.-	COG2520	tRNA (guanine(37)-N1)/4-demethylwyosine(37)-methyltransferase Taw22
PBHNMHAL_00021	CDS	924				hypothetical protein
PBHNMHAL_00022	CDS	927	moaA_1			GTP 3',8-cyclase
PBHNMHAL_00023	CDS	747				hypothetical protein
PBHNMHAL_00024	CDS	1416	fau-1	3.1.26.-	COG1530	putative ribonuclease FAU-1
PBHNMHAL_00025	CDS	714	radB		COG0468	DNA repair and recombination protein RadB
PBHNMHAL_00026	CDS	636				hypothetical protein
PBHNMHAL_00027	CDS	702				hypothetical protein
PBHNMHAL_00028	CDS	792	hydD	1.12.1.3	COG1941	Sulfhydrogenase 1 subunit delta
