locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFDLMJAO_00001	CDS	2535				hypothetical protein
LFDLMJAO_00002	CDS	639	metH_1	2.1.1.13	COG0646	Methionine synthase
LFDLMJAO_00003	CDS	1116				hypothetical protein
LFDLMJAO_00004	CDS	1791				hypothetical protein
LFDLMJAO_00005	CDS	2154				hypothetical protein
LFDLMJAO_00006	CDS	180				hypothetical protein
LFDLMJAO_00007	CDS	177				hypothetical protein
LFDLMJAO_00008	CDS	1641				hypothetical protein
LFDLMJAO_00009	CDS	1146				hypothetical protein
LFDLMJAO_00010	CDS	2949				hypothetical protein
LFDLMJAO_00011	CDS	1062	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
LFDLMJAO_00012	CDS	93				hypothetical protein
LFDLMJAO_00013	CDS	1677				hypothetical protein
LFDLMJAO_00014	CDS	630				hypothetical protein
LFDLMJAO_00015	CDS	1053	tolB_1			Tol-Pal system protein TolB
LFDLMJAO_00016	CDS	1791				hypothetical protein
LFDLMJAO_00017	CDS	1254	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
LFDLMJAO_00018	CDS	1806				hypothetical protein
LFDLMJAO_00019	CDS	2079	dpp5_1	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
LFDLMJAO_00020	CDS	330				hypothetical protein
LFDLMJAO_00021	CDS	2733				hypothetical protein
LFDLMJAO_00022	CDS	894	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
LFDLMJAO_00023	CDS	1227	flp			Protein flp
LFDLMJAO_00024	CDS	1092	ompA			Outer membrane protein A
LFDLMJAO_00025	CDS	1341				hypothetical protein
LFDLMJAO_00026	CDS	855				hypothetical protein
LFDLMJAO_00027	CDS	1617				hypothetical protein
LFDLMJAO_00028	CDS	180				hypothetical protein
LFDLMJAO_00029	CDS	3192	tri1_1	3.4.21.-	COG0793	Tricorn protease 
LFDLMJAO_00030	CDS	900	dppA_1	3.4.11.-	COG2362	D-aminopeptidase
LFDLMJAO_00031	CDS	1320				hypothetical protein
LFDLMJAO_00032	CDS	171				hypothetical protein
LFDLMJAO_00033	CDS	1872				hypothetical protein
LFDLMJAO_00034	CDS	990	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
LFDLMJAO_00035	CDS	1479		2.7.7.-	COG0617	CC-adding tRNA nucleotidyltransferase
LFDLMJAO_00036	CDS	2721				hypothetical protein
LFDLMJAO_00037	CDS	1245				hypothetical protein
LFDLMJAO_00038	CDS	2142		3.4.21.26		Prolyl endopeptidase
LFDLMJAO_00039	CDS	3195				hypothetical protein
LFDLMJAO_00040	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
LFDLMJAO_00041	CDS	711	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
LFDLMJAO_00042	CDS	1488				hypothetical protein
LFDLMJAO_00043	CDS	852				hypothetical protein
LFDLMJAO_00044	CDS	861				hypothetical protein
LFDLMJAO_00045	CDS	516	nox	1.6.99.3	COG0778	NADH dehydrogenase
LFDLMJAO_00046	CDS	780	thi4_1	2.4.2.59		Thiamine thiazole synthase
LFDLMJAO_00047	CDS	747				hypothetical protein
LFDLMJAO_00048	CDS	744	sfsA			Sugar fermentation stimulation protein A
LFDLMJAO_00049	CDS	771	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
LFDLMJAO_00050	CDS	1011			COG0609	putative ABC transporter permease protein
LFDLMJAO_00051	CDS	1083			COG0614	putative protein
LFDLMJAO_00052	CDS	1962	metG	6.1.1.10		Methionine--tRNA ligase
LFDLMJAO_00053	CDS	585	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
LFDLMJAO_00054	CDS	1170	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
LFDLMJAO_00055	CDS	813	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
LFDLMJAO_00056	CDS	900	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
LFDLMJAO_00057	CDS	903	RBKS_1	2.7.1.15		Ribokinase
LFDLMJAO_00058	CDS	1386	tpl	4.1.99.2	COG3033	Tyrosine phenol-lyase
LFDLMJAO_00059	CDS	348				hypothetical protein
LFDLMJAO_00060	CDS	1032	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LFDLMJAO_00061	CDS	1062	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
LFDLMJAO_00062	CDS	588	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LFDLMJAO_00063	CDS	531	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
LFDLMJAO_00064	CDS	750			COG0217	putative transcriptional regulatory protein
LFDLMJAO_00065	CDS	1095	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
LFDLMJAO_00066	CDS	1203				ISL3 family transposase ISGme5
LFDLMJAO_00067	CDS	1584	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LFDLMJAO_00068	CDS	546				hypothetical protein
LFDLMJAO_00069	CDS	480				hypothetical protein
LFDLMJAO_00070	CDS	2310		3.2.1.-		Beta-xylosidase
LFDLMJAO_00071	CDS	1347				hypothetical protein
LFDLMJAO_00072	CDS	876				hypothetical protein
LFDLMJAO_00073	CDS	1419	hutI_1	3.5.2.7		Imidazolonepropionase
LFDLMJAO_00074	CDS	1182				hypothetical protein
LFDLMJAO_00075	CDS	951	arcB_1	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
LFDLMJAO_00076	CDS	99				hypothetical protein
LFDLMJAO_00077	CDS	1329	ffh		COG0541	Signal recognition particle protein
LFDLMJAO_00078	CDS	462	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
