locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDOELBKI_00001	CDS	1407	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
CDOELBKI_00002	CDS	324				hypothetical protein
CDOELBKI_00003	CDS	456				hypothetical protein
CDOELBKI_00004	CDS	939				hypothetical protein
CDOELBKI_00005	CDS	486				hypothetical protein
CDOELBKI_00006	CDS	186				Ferredoxin-2
CDOELBKI_00007	CDS	672				hypothetical protein
CDOELBKI_00008	CDS	690				hypothetical protein
CDOELBKI_00009	CDS	777	Dml	4.1.3.32		2,3-dimethylmalate lyase
CDOELBKI_00010	CDS	423				hypothetical protein
CDOELBKI_00011	CDS	414				hypothetical protein
CDOELBKI_00012	CDS	690				hypothetical protein
CDOELBKI_00013	CDS	624				hypothetical protein
CDOELBKI_00014	CDS	4467	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CDOELBKI_00015	CDS	1251				hypothetical protein
CDOELBKI_00016	CDS	102				hypothetical protein
CDOELBKI_00017	CDS	312				hypothetical protein
CDOELBKI_00018	CDS	636				hypothetical protein
CDOELBKI_00019	CDS	201				hypothetical protein
CDOELBKI_00020	CDS	1254				hypothetical protein
CDOELBKI_00021	CDS	429				hypothetical protein
CDOELBKI_00022	CDS	1278	smc_1			Chromosome partition protein Smc
CDOELBKI_00023	CDS	852				hypothetical protein
CDOELBKI_00024	CDS	702				hypothetical protein
CDOELBKI_00025	CDS	354				hypothetical protein
CDOELBKI_00026	CDS	1029	pdxA2_1	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
CDOELBKI_00027	CDS	663	nudL_1	3.6.1.-		putative Nudix hydrolase NudL
CDOELBKI_00028	CDS	1809	dmdC	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
CDOELBKI_00029	CDS	3285	ygfK		COG0493	Putative oxidoreductase YgfK
CDOELBKI_00030	CDS	216	slyX			Protein SlyX
CDOELBKI_00031	CDS	1611	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
CDOELBKI_00032	CDS	708				hypothetical protein
CDOELBKI_00033	CDS	756	cobB	2.3.1.286		NAD-dependent protein deacetylase
CDOELBKI_00034	CDS	717	estB	3.1.1.1	COG0400	Carboxylesterase 2
CDOELBKI_00035	CDS	867	htpX_1	3.4.24.-	COG0501	Protease HtpX
CDOELBKI_00036	CDS	822				hypothetical protein
CDOELBKI_00037	CDS	1206	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
CDOELBKI_00038	CDS	879				hypothetical protein
CDOELBKI_00039	CDS	987	dctP_1		COG1638	C4-dicarboxylate-binding periplasmic protein DctP
CDOELBKI_00040	CDS	501				hypothetical protein
CDOELBKI_00041	CDS	1272	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
CDOELBKI_00042	CDS	696				hypothetical protein
CDOELBKI_00043	CDS	1179	pilT_1		COG2805	Twitching mobility protein
CDOELBKI_00044	CDS	420				hypothetical protein
CDOELBKI_00045	CDS	408		1.17.1.9		Putative formate dehydrogenase
CDOELBKI_00046	CDS	1632	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
CDOELBKI_00047	CDS	552				hypothetical protein
CDOELBKI_00048	CDS	285				hypothetical protein
CDOELBKI_00049	CDS	222				hypothetical protein
CDOELBKI_00050	CDS	1068	cckA_1			Sensor kinase CckA
CDOELBKI_00051	CDS	96				hypothetical protein
CDOELBKI_00052	CDS	1527				hypothetical protein
CDOELBKI_00053	CDS	867				hypothetical protein
CDOELBKI_00054	CDS	204				hypothetical protein
CDOELBKI_00055	CDS	588				hypothetical protein
CDOELBKI_00056	CDS	237				hypothetical protein
CDOELBKI_00057	CDS	204				hypothetical protein
CDOELBKI_00058	CDS	1401				hypothetical protein
CDOELBKI_00059	CDS	228				hypothetical protein
CDOELBKI_00060	CDS	546				hypothetical protein
CDOELBKI_00061	CDS	2091				hypothetical protein
CDOELBKI_00062	CDS	294				hypothetical protein
CDOELBKI_00063	CDS	1194	intS_1		COG0582	Prophage integrase IntS
CDOELBKI_00064	tRNA	99				tRNA-Phe(aaa)
CDOELBKI_00065	CDS	276				hypothetical protein
CDOELBKI_00066	CDS	405				hypothetical protein
CDOELBKI_00067	CDS	1494	fliF_1		COG1766	Flagellar M-ring protein
CDOELBKI_00068	CDS	447				hypothetical protein
CDOELBKI_00069	CDS	1362	yscN_1	7.1.2.2		putative ATP synthase YscN
CDOELBKI_00070	CDS	840				hypothetical protein
CDOELBKI_00071	CDS	1005	fliG_1		COG1536	Flagellar motor switch protein FliG
CDOELBKI_00072	CDS	1644	fliF_2		COG1766	Flagellar M-ring protein
CDOELBKI_00073	CDS	300	fliE			Flagellar hook-basal body complex protein FliE
CDOELBKI_00074	CDS	420	flgC		COG1558	Flagellar basal-body rod protein FlgC
CDOELBKI_00075	CDS	414	flgB		COG1815	Flagellar basal body rod protein FlgB
CDOELBKI_00076	CDS	2406				hypothetical protein
CDOELBKI_00077	CDS	372	cheY_1		COG0784	Chemotaxis protein CheY
CDOELBKI_00078	CDS	453				hypothetical protein
CDOELBKI_00079	CDS	465				hypothetical protein
CDOELBKI_00080	CDS	1845				hypothetical protein
CDOELBKI_00081	CDS	1488	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
CDOELBKI_00082	CDS	216				hypothetical protein
CDOELBKI_00083	CDS	111				hypothetical protein
CDOELBKI_00084	CDS	798	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CDOELBKI_00085	CDS	837	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
CDOELBKI_00086	CDS	894	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
CDOELBKI_00087	CDS	1089	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
CDOELBKI_00088	CDS	1344	der_1		COG1160	GTPase Der
CDOELBKI_00089	CDS	1188	aspC_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
CDOELBKI_00090	CDS	828	djlA			Co-chaperone protein DjlA
CDOELBKI_00091	CDS	990	ftsY_1		COG0552	Signal recognition particle receptor FtsY
CDOELBKI_00092	CDS	930	apbC		COG0489	Iron-sulfur cluster carrier protein
CDOELBKI_00093	CDS	762				hypothetical protein
CDOELBKI_00094	CDS	900				hypothetical protein
CDOELBKI_00095	CDS	1278				hypothetical protein
CDOELBKI_00096	CDS	561				hypothetical protein
CDOELBKI_00097	CDS	201				hypothetical protein
CDOELBKI_00098	CDS	627				hypothetical protein
CDOELBKI_00099	CDS	1101	cbh	3.5.1.24		Choloylglycine hydrolase
CDOELBKI_00100	CDS	843				hypothetical protein
