locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBPFBJOG_00001	CDS	195				hypothetical protein
BBPFBJOG_00002	CDS	870				hypothetical protein
BBPFBJOG_00003	CDS	645	rbn	3.1.26.11		Ribonuclease BN
BBPFBJOG_00004	CDS	1239	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
BBPFBJOG_00005	CDS	255				hypothetical protein
BBPFBJOG_00006	CDS	480	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
BBPFBJOG_00007	CDS	1161	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
BBPFBJOG_00008	CDS	1074				hypothetical protein
BBPFBJOG_00009	CDS	1281				hypothetical protein
BBPFBJOG_00010	CDS	444	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
BBPFBJOG_00011	CDS	978				hypothetical protein
BBPFBJOG_00012	CDS	1518	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BBPFBJOG_00013	CDS	1545				hypothetical protein
BBPFBJOG_00014	CDS	486				hypothetical protein
BBPFBJOG_00015	CDS	972				hypothetical protein
BBPFBJOG_00016	CDS	1392	pccR_1		COG1396	Propionyl-CoA carboxylase regulator
BBPFBJOG_00017	CDS	1371	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BBPFBJOG_00018	CDS	456	tctD_1		COG0745	Transcriptional regulatory protein tctD
BBPFBJOG_00019	CDS	1302	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
BBPFBJOG_00020	CDS	825	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
BBPFBJOG_00021	CDS	333				hypothetical protein
BBPFBJOG_00022	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BBPFBJOG_00023	CDS	1251				hypothetical protein
BBPFBJOG_00024	CDS	330				hypothetical protein
BBPFBJOG_00025	CDS	1416	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
BBPFBJOG_00026	CDS	1179			COG2081	putative protein
BBPFBJOG_00027	CDS	1164	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
BBPFBJOG_00028	CDS	1074	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BBPFBJOG_00029	CDS	120				hypothetical protein
BBPFBJOG_00030	CDS	324	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
BBPFBJOG_00031	CDS	747				hypothetical protein
BBPFBJOG_00032	CDS	354				hypothetical protein
BBPFBJOG_00033	CDS	120				hypothetical protein
BBPFBJOG_00034	CDS	666	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
BBPFBJOG_00035	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
BBPFBJOG_00036	CDS	876	ftsQ			Cell division protein FtsQ
BBPFBJOG_00037	CDS	171				hypothetical protein
BBPFBJOG_00038	CDS	462				hypothetical protein
BBPFBJOG_00039	CDS	1113	flhA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
BBPFBJOG_00040	CDS	495				hypothetical protein
BBPFBJOG_00041	CDS	627				hypothetical protein
BBPFBJOG_00042	CDS	975				hypothetical protein
BBPFBJOG_00043	CDS	936				hypothetical protein
BBPFBJOG_00044	CDS	837	fghA	3.1.2.12	COG0627	S-formylglutathione hydrolase
BBPFBJOG_00045	CDS	1425	sthA	1.6.1.1	COG1249	putative soluble pyridine nucleotide transhydrogenase
BBPFBJOG_00046	CDS	618				hypothetical protein
BBPFBJOG_00047	CDS	912		1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
BBPFBJOG_00048	CDS	369				hypothetical protein
BBPFBJOG_00049	CDS	963	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
