locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPGMBBKC_00001	CDS	1296		3.5.1.4	COG0154	Amidase
OPGMBBKC_00002	CDS	258				hypothetical protein
OPGMBBKC_00003	CDS	630				hypothetical protein
OPGMBBKC_00004	CDS	468				hypothetical protein
OPGMBBKC_00005	CDS	447	mat	2.5.1.6	COG1812	S-adenosylmethionine synthase
OPGMBBKC_00006	CDS	519	hldE_1	2.7.7.70		Bifunctional protein HldE
OPGMBBKC_00007	CDS	888	hldE_2	2.7.7.70		Bifunctional protein HldE
OPGMBBKC_00008	CDS	441				hypothetical protein
OPGMBBKC_00009	CDS	471				hypothetical protein
OPGMBBKC_00010	CDS	657				hypothetical protein
OPGMBBKC_00011	CDS	357				hypothetical protein
OPGMBBKC_00012	CDS	219				hypothetical protein
OPGMBBKC_00013	CDS	549	csl4		COG1096	Exosome complex component Csl4
OPGMBBKC_00014	tRNA	93				tRNA-Pro(cgg)
OPGMBBKC_00015	CDS	330				hypothetical protein
OPGMBBKC_00016	CDS	498				hypothetical protein
OPGMBBKC_00017	CDS	2850				hypothetical protein
OPGMBBKC_00018	CDS	402				hypothetical protein
OPGMBBKC_00019	CDS	1239				hypothetical protein
OPGMBBKC_00020	CDS	504				hypothetical protein
OPGMBBKC_00021	CDS	417				hypothetical protein
OPGMBBKC_00022	CDS	2364	pol	2.7.7.7		DNA polymerase
OPGMBBKC_00023	CDS	1785	GATB	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
OPGMBBKC_00024	CDS	447				hypothetical protein
OPGMBBKC_00025	CDS	1980				hypothetical protein
OPGMBBKC_00026	CDS	675	uppS	2.5.1.89	COG0020	Tritrans,polycis-undecaprenyl-diphosphate synthase (GGDP specific)
OPGMBBKC_00027	CDS	189				hypothetical protein
OPGMBBKC_00028	CDS	153	kaiC	2.7.11.1		Circadian clock protein kinase KaiC
OPGMBBKC_00029	CDS	489				hypothetical protein
OPGMBBKC_00030	CDS	435				hypothetical protein
OPGMBBKC_00031	CDS	933	ppaC	3.6.1.1		manganese-dependent inorganic pyrophosphatase
OPGMBBKC_00032	CDS	339				hypothetical protein
OPGMBBKC_00033	CDS	234				hypothetical protein
OPGMBBKC_00034	CDS	981				hypothetical protein
OPGMBBKC_00035	CDS	561	glnA	6.3.1.2	COG0174	Glutamine synthetase
OPGMBBKC_00036	CDS	804				hypothetical protein
OPGMBBKC_00037	CDS	288				hypothetical protein
OPGMBBKC_00038	CDS	690				hypothetical protein
OPGMBBKC_00039	CDS	354				hypothetical protein
OPGMBBKC_00040	CDS	1452	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
OPGMBBKC_00041	CDS	1005				hypothetical protein
OPGMBBKC_00042	tRNA	85				tRNA-Leu(taa)
OPGMBBKC_00043	CDS	1158				hypothetical protein
OPGMBBKC_00044	CDS	624				hypothetical protein
OPGMBBKC_00045	CDS	996	atpC			V-type ATP synthase subunit C
OPGMBBKC_00046	CDS	321	atpF		COG1436	V-type ATP synthase subunit F
OPGMBBKC_00047	CDS	624				hypothetical protein
OPGMBBKC_00048	CDS	732				hypothetical protein
OPGMBBKC_00049	CDS	696		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
OPGMBBKC_00050	CDS	771				hypothetical protein
OPGMBBKC_00051	CDS	675		2.4.2.1	COG0005	putative 6-oxopurine nucleoside phosphorylase
OPGMBBKC_00052	CDS	1515				hypothetical protein
OPGMBBKC_00053	CDS	1182	prf1		COG1503	Peptide chain release factor subunit 1
OPGMBBKC_00054	CDS	420				hypothetical protein
OPGMBBKC_00055	CDS	579				hypothetical protein
OPGMBBKC_00056	CDS	456	spt5		COG0250	Transcription elongation factor Spt5
OPGMBBKC_00057	CDS	165				hypothetical protein
OPGMBBKC_00058	CDS	207	ftsZ			Cell division protein FtsZ
OPGMBBKC_00059	CDS	648				hypothetical protein
OPGMBBKC_00060	CDS	402				hypothetical protein
OPGMBBKC_00061	CDS	291				hypothetical protein
OPGMBBKC_00062	CDS	930	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
OPGMBBKC_00063	CDS	300				hypothetical protein
OPGMBBKC_00064	CDS	945				hypothetical protein
OPGMBBKC_00065	CDS	1143	OLA1			Obg-like ATPase 1
OPGMBBKC_00066	tRNA	72				tRNA-Thr(cgt)
OPGMBBKC_00067	CDS	1401				hypothetical protein
OPGMBBKC_00068	CDS	873				hypothetical protein
OPGMBBKC_00069	CDS	114				hypothetical protein
OPGMBBKC_00070	CDS	492		2.7.4.3	COG1936	Putative adenylate kinase
OPGMBBKC_00071	CDS	678				hypothetical protein
OPGMBBKC_00072	CDS	2502				hypothetical protein
OPGMBBKC_00073	CDS	954	mraY	2.7.8.13		Phospho-N-acetylmuramoyl-pentapeptide-transferase
OPGMBBKC_00074	CDS	519				hypothetical protein
OPGMBBKC_00075	CDS	276				hypothetical protein
OPGMBBKC_00076	CDS	177				hypothetical protein
OPGMBBKC_00077	CDS	342				hypothetical protein
OPGMBBKC_00078	CDS	888	rnz	3.1.26.11	COG1234	Ribonuclease Z
OPGMBBKC_00079	CDS	753				hypothetical protein
OPGMBBKC_00080	CDS	384				hypothetical protein
OPGMBBKC_00081	CDS	321			COG0023	Protein translation factor SUI1 
OPGMBBKC_00082	CDS	168				hypothetical protein
OPGMBBKC_00083	CDS	612	rps3		COG0092	30S ribosomal protein S3
OPGMBBKC_00084	CDS	594				hypothetical protein
OPGMBBKC_00085	CDS	414			COG0185	30S ribosomal protein S19
OPGMBBKC_00086	CDS	741	rpl2		COG0090	50S ribosomal protein L2
OPGMBBKC_00087	CDS	246			COG0089	50S ribosomal protein L23
OPGMBBKC_00088	CDS	801	rpl4		COG0088	50S ribosomal protein L4
OPGMBBKC_00089	CDS	903	rpl3		COG0087	50S ribosomal protein L3
OPGMBBKC_00090	tRNA	73				tRNA-Ile(gat)
OPGMBBKC_00091	CDS	912	dph2	2.5.1.108	COG1736	2-(3-amino-3-carboxypropyl)histidine synthase
OPGMBBKC_00092	CDS	279				hypothetical protein
OPGMBBKC_00093	CDS	888				hypothetical protein
OPGMBBKC_00094	CDS	474				hypothetical protein
OPGMBBKC_00095	CDS	1146		2.1.1.256	COG0116	tRNA (guanine(6)-N2)-methyltransferase
OPGMBBKC_00096	tRNA	85				tRNA-Tyr(gta)
OPGMBBKC_00097	CDS	600				hypothetical protein
OPGMBBKC_00098	CDS	540				hypothetical protein
OPGMBBKC_00099	CDS	507				hypothetical protein
OPGMBBKC_00100	CDS	1839				hypothetical protein
OPGMBBKC_00101	CDS	969				hypothetical protein
OPGMBBKC_00102	CDS	702				hypothetical protein
OPGMBBKC_00103	CDS	489				hypothetical protein
OPGMBBKC_00104	CDS	288				hypothetical protein
OPGMBBKC_00105	CDS	792				hypothetical protein
OPGMBBKC_00106	CDS	912				hypothetical protein
OPGMBBKC_00107	CDS	816		2.5.1.42	COG0382	Digeranylgeranylglyceryl phosphate synthase
OPGMBBKC_00108	CDS	195				hypothetical protein
OPGMBBKC_00109	CDS	1086				hypothetical protein
OPGMBBKC_00110	CDS	1686	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OPGMBBKC_00111	CDS	714				hypothetical protein
OPGMBBKC_00112	CDS	1056	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OPGMBBKC_00113	CDS	246				hypothetical protein
OPGMBBKC_00114	CDS	270				hypothetical protein
OPGMBBKC_00115	CDS	213				hypothetical protein
OPGMBBKC_00116	CDS	300				hypothetical protein
OPGMBBKC_00117	CDS	255	ipp	3.6.1.1	COG0221	Inorganic pyrophosphatase
OPGMBBKC_00118	CDS	549				hypothetical protein
OPGMBBKC_00119	CDS	240				hypothetical protein
OPGMBBKC_00120	CDS	672	shyC	1.12.98.4	COG0543	Sulfhydrogenase 2 subunit gamma
OPGMBBKC_00121	CDS	429				hypothetical protein
OPGMBBKC_00122	CDS	567		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
OPGMBBKC_00123	CDS	948		5.3.1.29	COG1184	Ribose 1,5-bisphosphate isomerase
OPGMBBKC_00124	CDS	183				hypothetical protein
OPGMBBKC_00125	CDS	393				hypothetical protein
OPGMBBKC_00126	CDS	732				hypothetical protein
OPGMBBKC_00127	CDS	222				hypothetical protein
OPGMBBKC_00128	CDS	1530	top6B	5.6.2.2	COG1389	Type 2 DNA topoisomerase 6 subunit B
OPGMBBKC_00129	CDS	1089	top6A	5.6.2.2		Type 2 DNA topoisomerase 6 subunit A
