locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFBDDFBG_00001	CDS	738				hypothetical protein
AFBDDFBG_00002	CDS	1857				hypothetical protein
AFBDDFBG_00003	CDS	153				hypothetical protein
AFBDDFBG_00004	CDS	885				hypothetical protein
AFBDDFBG_00005	CDS	927		5.1.3.2	COG1088	UDP-glucose 4-epimerase
AFBDDFBG_00006	CDS	993				hypothetical protein
AFBDDFBG_00007	CDS	648				hypothetical protein
AFBDDFBG_00008	CDS	885				hypothetical protein
AFBDDFBG_00009	CDS	1959				hypothetical protein
AFBDDFBG_00010	CDS	1509	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
AFBDDFBG_00011	CDS	1614	cstA		COG1966	Peptide transporter CstA
AFBDDFBG_00012	CDS	657	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
AFBDDFBG_00013	CDS	909	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
AFBDDFBG_00014	CDS	1032	asrA		COG1145	Anaerobic sulfite reductase subunit A
AFBDDFBG_00015	CDS	834	asrB_1		COG0543	Anaerobic sulfite reductase subunit B
AFBDDFBG_00016	CDS	471				hypothetical protein
AFBDDFBG_00017	CDS	768	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AFBDDFBG_00018	CDS	1053	aroF_1	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
AFBDDFBG_00019	CDS	1017	aroF_2	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
AFBDDFBG_00020	CDS	828	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
AFBDDFBG_00021	CDS	1308	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
AFBDDFBG_00022	CDS	1389	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
AFBDDFBG_00023	CDS	483	pyrG	6.3.4.2	COG0504	CTP synthase
AFBDDFBG_00024	CDS	633				hypothetical protein
AFBDDFBG_00025	CDS	537				hypothetical protein
AFBDDFBG_00026	CDS	897				hypothetical protein
AFBDDFBG_00027	CDS	717	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AFBDDFBG_00028	CDS	1524				hypothetical protein
AFBDDFBG_00029	CDS	213	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
AFBDDFBG_00030	CDS	876		2.5.1.10		Farnesyl diphosphate synthase
AFBDDFBG_00031	CDS	1860	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
AFBDDFBG_00032	CDS	5385				hypothetical protein
AFBDDFBG_00033	CDS	165				hypothetical protein
AFBDDFBG_00034	CDS	417				hypothetical protein
AFBDDFBG_00035	CDS	342				hypothetical protein
AFBDDFBG_00036	CDS	1722	polX		COG1387	DNA polymerase/3'-5' exonuclease PolX
AFBDDFBG_00037	CDS	516				hypothetical protein
AFBDDFBG_00038	tRNA	87				tRNA-Ser(cga)
AFBDDFBG_00039	CDS	1542	comM		COG0606	Competence protein ComM
AFBDDFBG_00040	CDS	1167	deoB	5.4.2.7	COG1015	Phosphopentomutase
AFBDDFBG_00041	CDS	417	cdd	3.5.4.5	COG0295	Cytidine deaminase
AFBDDFBG_00042	CDS	1785				hypothetical protein
AFBDDFBG_00043	CDS	840				hypothetical protein
AFBDDFBG_00044	CDS	276				hypothetical protein
AFBDDFBG_00045	CDS	546				hypothetical protein
AFBDDFBG_00046	CDS	198				hypothetical protein
AFBDDFBG_00047	CDS	660				hypothetical protein
AFBDDFBG_00048	CDS	1308	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
AFBDDFBG_00049	CDS	1365	tldD_2	3.4.-.-	COG0312	Metalloprotease TldD
AFBDDFBG_00050	CDS	1803				hypothetical protein
AFBDDFBG_00051	CDS	480				hypothetical protein
AFBDDFBG_00052	CDS	984	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
AFBDDFBG_00053	CDS	630	rpsD		COG0522	30S ribosomal protein S4
AFBDDFBG_00054	CDS	411	rpsK			30S ribosomal protein S11
AFBDDFBG_00055	CDS	387	rpsM		COG0099	30S ribosomal protein S13
AFBDDFBG_00056	CDS	219	infA		COG0361	Translation initiation factor IF-1
AFBDDFBG_00057	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
AFBDDFBG_00058	CDS	657	adk	2.7.4.3	COG0563	Adenylate kinase
AFBDDFBG_00059	CDS	1320	secY		COG0201	Protein translocase subunit SecY
AFBDDFBG_00060	CDS	438	rplO			50S ribosomal protein L15
AFBDDFBG_00061	CDS	204	rpmD		COG1841	50S ribosomal protein L30
AFBDDFBG_00062	CDS	1323	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
AFBDDFBG_00063	CDS	240	rpmC			50S ribosomal protein L29
AFBDDFBG_00064	CDS	432	rplP		COG0197	50S ribosomal protein L16
AFBDDFBG_00065	CDS	624	rpsC		COG0092	30S ribosomal protein S3
AFBDDFBG_00066	CDS	366	rplV		COG0091	50S ribosomal protein L22
AFBDDFBG_00067	CDS	294	rpsS			30S ribosomal protein S19
AFBDDFBG_00068	CDS	822	rplB		COG0090	50S ribosomal protein L2
AFBDDFBG_00069	CDS	285	rplW			50S ribosomal protein L23
AFBDDFBG_00070	CDS	636	rplD			50S ribosomal protein L4
AFBDDFBG_00071	CDS	615	rplC		COG0087	50S ribosomal protein L3
AFBDDFBG_00072	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
AFBDDFBG_00073	CDS	738	baeR		COG0745	Transcriptional regulatory protein BaeR
AFBDDFBG_00074	CDS	1722	resE	2.7.13.3		Sensor histidine kinase ResE
AFBDDFBG_00075	CDS	93				hypothetical protein
AFBDDFBG_00076	CDS	1071				hypothetical protein
AFBDDFBG_00077	CDS	831	pstS1_1		COG0226	Phosphate-binding protein PstS 1
AFBDDFBG_00078	CDS	861	pstC_1		COG0573	Phosphate transport system permease protein PstC
AFBDDFBG_00079	CDS	882	pstA1		COG0581	Phosphate transport system permease protein PstA 1
AFBDDFBG_00080	CDS	759	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
AFBDDFBG_00081	CDS	657	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
AFBDDFBG_00082	CDS	150				hypothetical protein
AFBDDFBG_00083	CDS	693				hypothetical protein
AFBDDFBG_00084	CDS	189	tatA			Sec-independent protein translocase protein TatA
AFBDDFBG_00085	tRNA	91				tRNA-Ser(gga)
AFBDDFBG_00086	CDS	729	prkC_1	2.7.11.1		Serine/threonine-protein kinase PrkC
AFBDDFBG_00087	CDS	705	spk1	2.7.11.1		Serine/threonine-protein kinase PK-1
AFBDDFBG_00088	CDS	651	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
AFBDDFBG_00089	CDS	1299	ffh		COG0541	Signal recognition particle protein
AFBDDFBG_00090	CDS	897				hypothetical protein
AFBDDFBG_00091	CDS	1674				hypothetical protein
AFBDDFBG_00092	CDS	450	fruA_1		COG1299	PTS system fructose-specific EIIABC component
AFBDDFBG_00093	CDS	798				hypothetical protein
AFBDDFBG_00094	CDS	1257				hypothetical protein
AFBDDFBG_00095	CDS	546	pdaD	4.1.1.19		Pyruvoyl-dependent arginine decarboxylase
AFBDDFBG_00096	tRNA	73				tRNA-Ala(cgc)
AFBDDFBG_00097	CDS	588	gmk	2.7.4.8	COG0194	Guanylate kinase
AFBDDFBG_00098	CDS	876				hypothetical protein
AFBDDFBG_00099	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
AFBDDFBG_00100	CDS	606	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
AFBDDFBG_00101	tRNA	72				tRNA-Gly(tcc)
AFBDDFBG_00102	CDS	1347	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
AFBDDFBG_00103	CDS	600				hypothetical protein
AFBDDFBG_00104	CDS	1476	yidC			Membrane protein insertase YidC
AFBDDFBG_00105	CDS	240	yidD		COG0759	Putative membrane protein insertion efficiency factor
AFBDDFBG_00106	CDS	351	rnpA	3.1.26.5		Ribonuclease P protein component
AFBDDFBG_00107	CDS	1011				hypothetical protein
AFBDDFBG_00108	CDS	1107				hypothetical protein
AFBDDFBG_00109	CDS	678	scpA			Segregation and condensation protein A
AFBDDFBG_00110	CDS	165				hypothetical protein
AFBDDFBG_00111	CDS	426	chrB1			Protein ChrB
AFBDDFBG_00112	CDS	282				hypothetical protein
AFBDDFBG_00113	CDS	180				hypothetical protein
AFBDDFBG_00114	CDS	957				hypothetical protein
AFBDDFBG_00115	CDS	93				hypothetical protein
AFBDDFBG_00116	CDS	444				hypothetical protein
AFBDDFBG_00117	CDS	360				hypothetical protein
AFBDDFBG_00118	CDS	339				hypothetical protein
AFBDDFBG_00119	CDS	345	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
AFBDDFBG_00120	CDS	1215				hypothetical protein
AFBDDFBG_00121	CDS	867	era		COG1159	GTPase Era
AFBDDFBG_00122	CDS	489				hypothetical protein
AFBDDFBG_00123	CDS	909	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
AFBDDFBG_00124	CDS	1095	dnaN		COG0592	Beta sliding clamp
AFBDDFBG_00125	CDS	459				hypothetical protein
AFBDDFBG_00126	CDS	708				hypothetical protein
AFBDDFBG_00127	CDS	405				hypothetical protein
AFBDDFBG_00128	CDS	1092				hypothetical protein
AFBDDFBG_00129	CDS	489				hypothetical protein
AFBDDFBG_00130	CDS	435	rplK		COG0080	50S ribosomal protein L11
AFBDDFBG_00131	CDS	525	nusG_1		COG0250	Transcription termination/antitermination protein NusG
AFBDDFBG_00132	tRNA	76				tRNA-Trp(cca)
AFBDDFBG_00133	CDS	504				hypothetical protein
AFBDDFBG_00134	CDS	717				hypothetical protein
AFBDDFBG_00135	CDS	2724				hypothetical protein
AFBDDFBG_00136	CDS	846	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
AFBDDFBG_00137	CDS	996	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
AFBDDFBG_00138	CDS	792	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
AFBDDFBG_00139	CDS	858				hypothetical protein
AFBDDFBG_00140	CDS	1047	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
AFBDDFBG_00141	CDS	459	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
AFBDDFBG_00142	CDS	792	cheR	2.1.1.80		Chemotaxis protein methyltransferase
AFBDDFBG_00143	CDS	1590	lapB_1			Lipopolysaccharide assembly protein B
AFBDDFBG_00144	CDS	1830	dnaA_1			Chromosomal replication initiator protein DnaA
AFBDDFBG_00145	CDS	408				hypothetical protein
AFBDDFBG_00146	CDS	2274				hypothetical protein
AFBDDFBG_00147	CDS	1059				hypothetical protein
AFBDDFBG_00148	CDS	483	sulD		COG0801	Bifunctional folate synthesis protein
AFBDDFBG_00149	CDS	636	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
AFBDDFBG_00150	CDS	789	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
AFBDDFBG_00151	CDS	2748				hypothetical protein
AFBDDFBG_00152	CDS	837				hypothetical protein
AFBDDFBG_00153	CDS	1251				hypothetical protein
AFBDDFBG_00154	CDS	1284				hypothetical protein
AFBDDFBG_00155	CDS	1881	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
AFBDDFBG_00156	CDS	318				hypothetical protein
AFBDDFBG_00157	CDS	1266	serS	6.1.1.11	COG0172	Serine--tRNA ligase
AFBDDFBG_00158	CDS	2433				hypothetical protein
AFBDDFBG_00159	CDS	1254	larA_1	5.1.2.1	COG3875	Lactate racemase
AFBDDFBG_00160	CDS	1707	surA_1	5.2.1.8		Chaperone SurA
AFBDDFBG_00161	CDS	876				hypothetical protein
AFBDDFBG_00162	CDS	1893				hypothetical protein
AFBDDFBG_00163	CDS	459	perR		COG0735	Peroxide operon regulator
AFBDDFBG_00164	CDS	225	nfuA		COG0316	Fe/S biogenesis protein NfuA
AFBDDFBG_00165	CDS	1170				hypothetical protein
AFBDDFBG_00166	CDS	702	hrb		COG1773	High molecular weight rubredoxin
AFBDDFBG_00167	CDS	1185	fprA	1.-.-.-	COG0426	Nitric oxide reductase
AFBDDFBG_00168	CDS	471				hypothetical protein
AFBDDFBG_00169	CDS	921	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
AFBDDFBG_00170	CDS	471	hyfA	1.-.-.-	COG1142	Hydrogenase-4 component A
AFBDDFBG_00171	CDS	1023				hypothetical protein
AFBDDFBG_00172	CDS	375	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
AFBDDFBG_00173	CDS	852		3.2.1.169		Protein O-GlcNAcase
AFBDDFBG_00174	CDS	837	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
AFBDDFBG_00175	CDS	1386	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AFBDDFBG_00176	CDS	270				hypothetical protein
AFBDDFBG_00177	CDS	288				hypothetical protein
AFBDDFBG_00178	CDS	1155		2.7.7.-	COG0517	A-adding tRNA nucleotidyltransferase
AFBDDFBG_00179	CDS	639				hypothetical protein
AFBDDFBG_00180	CDS	2283				hypothetical protein
AFBDDFBG_00181	CDS	1536				hypothetical protein
AFBDDFBG_00182	CDS	1362				hypothetical protein
AFBDDFBG_00183	CDS	408	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
AFBDDFBG_00184	CDS	1020				hypothetical protein
AFBDDFBG_00185	CDS	1860	potE			Putrescine transporter PotE
AFBDDFBG_00186	CDS	393				hypothetical protein
AFBDDFBG_00187	CDS	429				hypothetical protein
AFBDDFBG_00188	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
AFBDDFBG_00189	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
AFBDDFBG_00190	CDS	855	spo0C		COG1475	Chromosome-partitioning protein Spo0J
AFBDDFBG_00191	CDS	759	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
AFBDDFBG_00192	CDS	732	moaA_1			GTP 3',8-cyclase
AFBDDFBG_00193	CDS	2823	uvrA			UvrABC system protein A
AFBDDFBG_00194	tRNA	77				tRNA-Asp(gtc)
AFBDDFBG_00195	CDS	501				hypothetical protein
AFBDDFBG_00196	CDS	1476				hypothetical protein
AFBDDFBG_00197	CDS	1455	rtcB	6.5.1.-		RNA-splicing ligase RtcB
AFBDDFBG_00198	CDS	1776	uvrC		COG0322	UvrABC system protein C
AFBDDFBG_00199	CDS	744	corC		COG4535	Magnesium and cobalt efflux protein CorC
AFBDDFBG_00200	CDS	510			COG1259	putative protein
AFBDDFBG_00201	CDS	450	rplI		COG0359	50S ribosomal protein L9
AFBDDFBG_00202	CDS	204	rpsR			30S ribosomal protein S18
AFBDDFBG_00203	CDS	444	ssb		COG0629	Single-stranded DNA-binding protein
AFBDDFBG_00204	CDS	330	rpsF		COG0360	30S ribosomal protein S6
