locus_tag	ftype	length_bp	gene	EC_number	COG	product
OIPPGANA_00001	CDS	741				hypothetical protein
OIPPGANA_00002	CDS	486				hypothetical protein
OIPPGANA_00003	CDS	459				hypothetical protein
OIPPGANA_00004	CDS	582				hypothetical protein
OIPPGANA_00005	CDS	1308				hypothetical protein
OIPPGANA_00006	CDS	882				hypothetical protein
OIPPGANA_00007	CDS	666				hypothetical protein
OIPPGANA_00008	CDS	6384				hypothetical protein
OIPPGANA_00009	CDS	1509				hypothetical protein
OIPPGANA_00010	CDS	1341				hypothetical protein
OIPPGANA_00011	CDS	1470				hypothetical protein
OIPPGANA_00012	CDS	477				hypothetical protein
OIPPGANA_00013	CDS	486				hypothetical protein
OIPPGANA_00014	CDS	429				hypothetical protein
OIPPGANA_00015	CDS	1797				hypothetical protein
OIPPGANA_00016	CDS	369				hypothetical protein
OIPPGANA_00017	tRNA	75				tRNA-Val(gac)
OIPPGANA_00018	CDS	153				hypothetical protein
OIPPGANA_00019	CDS	318				hypothetical protein
OIPPGANA_00020	CDS	1254	hutI	3.5.2.7		Imidazolonepropionase
OIPPGANA_00021	CDS	1008	kae1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
OIPPGANA_00022	CDS	801				hypothetical protein
OIPPGANA_00023	CDS	795	thyA	2.1.1.45		Thymidylate synthase
OIPPGANA_00024	CDS	471	hdrB	1.5.1.3	COG0262	Dihydrofolate reductase HdrB
OIPPGANA_00025	CDS	369				hypothetical protein
OIPPGANA_00026	CDS	783		2.4.2.1	COG0005	putative 6-oxopurine nucleoside phosphorylase
OIPPGANA_00027	CDS	741				hypothetical protein
OIPPGANA_00028	CDS	192				hypothetical protein
OIPPGANA_00029	CDS	639	ymdB	3.1.1.106		O-acetyl-ADP-ribose deacetylase
OIPPGANA_00030	CDS	519				hypothetical protein
OIPPGANA_00031	CDS	1458				hypothetical protein
OIPPGANA_00032	CDS	675				hypothetical protein
OIPPGANA_00033	CDS	753				hypothetical protein
OIPPGANA_00034	CDS	984				hypothetical protein
OIPPGANA_00035	CDS	417				hypothetical protein
OIPPGANA_00036	CDS	1284	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
OIPPGANA_00037	CDS	762				hypothetical protein
OIPPGANA_00038	CDS	834				hypothetical protein
OIPPGANA_00039	CDS	366				hypothetical protein
OIPPGANA_00040	CDS	1215				hypothetical protein
OIPPGANA_00041	CDS	876				hypothetical protein
OIPPGANA_00042	CDS	543				hypothetical protein
OIPPGANA_00043	CDS	807				hypothetical protein
OIPPGANA_00044	CDS	5268				hypothetical protein
OIPPGANA_00045	CDS	591				hypothetical protein
OIPPGANA_00046	CDS	1146	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
OIPPGANA_00047	CDS	525				hypothetical protein
OIPPGANA_00048	CDS	1185				hypothetical protein
OIPPGANA_00049	CDS	1176	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
OIPPGANA_00050	CDS	453				hypothetical protein
OIPPGANA_00051	CDS	1299				hypothetical protein
OIPPGANA_00052	CDS	1041				hypothetical protein
OIPPGANA_00053	CDS	141				hypothetical protein
OIPPGANA_00054	CDS	996	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
OIPPGANA_00055	tRNA	75				tRNA-Lys(ctt)
OIPPGANA_00056	CDS	393				hypothetical protein
OIPPGANA_00057	CDS	132				hypothetical protein
OIPPGANA_00058	CDS	180				hypothetical protein
OIPPGANA_00059	CDS	549		2.7.7.1		Nicotinamide-nucleotide adenylyltransferase
OIPPGANA_00060	CDS	1185	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
OIPPGANA_00061	CDS	630				hypothetical protein
OIPPGANA_00062	CDS	153				hypothetical protein
OIPPGANA_00063	CDS	135				hypothetical protein
OIPPGANA_00064	CDS	279				hypothetical protein
OIPPGANA_00065	CDS	2073		3.4.21.-	COG1067	Archaeal Lon protease
OIPPGANA_00066	CDS	1362	mdtG			Multidrug resistance protein MdtG
OIPPGANA_00067	CDS	1431				hypothetical protein
OIPPGANA_00068	CDS	273				hypothetical protein
OIPPGANA_00069	CDS	996				hypothetical protein
OIPPGANA_00070	CDS	762				hypothetical protein
OIPPGANA_00071	CDS	594				hypothetical protein
OIPPGANA_00072	CDS	276				hypothetical protein
OIPPGANA_00073	CDS	1017	tfb_1			Transcription initiation factor IIB
OIPPGANA_00074	CDS	1302	PURA	6.3.4.4		Adenylosuccinate synthetase, organellar chromatophore
OIPPGANA_00075	tRNA	74				tRNA-Ala(tgc)
OIPPGANA_00076	CDS	669				hypothetical protein
OIPPGANA_00077	CDS	816	malK_1	7.5.2.1		Trehalose/maltose import ATP-binding protein MalK
OIPPGANA_00078	CDS	1611				hypothetical protein
OIPPGANA_00079	CDS	2526				hypothetical protein
OIPPGANA_00080	CDS	660	tal	2.2.1.2	COG0176	putative transaldolase
OIPPGANA_00081	CDS	939	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
OIPPGANA_00082	CDS	825	dxs_2	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
OIPPGANA_00083	CDS	2046				hypothetical protein
OIPPGANA_00084	CDS	567				hypothetical protein
OIPPGANA_00085	CDS	459				hypothetical protein
OIPPGANA_00086	CDS	1419				hypothetical protein
OIPPGANA_00087	CDS	270				hypothetical protein
OIPPGANA_00088	CDS	261				hypothetical protein
OIPPGANA_00089	CDS	1167				hypothetical protein
OIPPGANA_00090	CDS	303				hypothetical protein
OIPPGANA_00091	CDS	219				hypothetical protein
OIPPGANA_00092	CDS	438				hypothetical protein
OIPPGANA_00093	CDS	843				hypothetical protein
OIPPGANA_00094	CDS	1794	maeA	1.1.1.38		NAD-dependent malic enzyme
OIPPGANA_00095	CDS	522				hypothetical protein
OIPPGANA_00096	CDS	1041	birA	6.3.4.15		Bifunctional ligase/repressor BirA
OIPPGANA_00097	CDS	231				hypothetical protein
OIPPGANA_00098	CDS	390				hypothetical protein
OIPPGANA_00099	CDS	348				hypothetical protein
OIPPGANA_00100	CDS	1011			COG0489	Iron-sulfur cluster carrier protein
OIPPGANA_00101	CDS	354				hypothetical protein
OIPPGANA_00102	CDS	225				hypothetical protein
OIPPGANA_00103	CDS	150				hypothetical protein
OIPPGANA_00104	CDS	651				hypothetical protein
OIPPGANA_00105	CDS	885				hypothetical protein
OIPPGANA_00106	CDS	693				hypothetical protein
OIPPGANA_00107	CDS	135				hypothetical protein
OIPPGANA_00108	CDS	1080				hypothetical protein
OIPPGANA_00109	CDS	1791		1.2.7.11	COG0674	2-oxoacid:ferredoxin oxidoreductase 2, subunit alpha
OIPPGANA_00110	CDS	1047				hypothetical protein
OIPPGANA_00111	CDS	894				hypothetical protein
OIPPGANA_00112	CDS	783				hypothetical protein
OIPPGANA_00113	CDS	732		3.1.3.18	COG0561	Phosphoglycolate phosphatase
OIPPGANA_00114	CDS	2679	kdpB_1	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
OIPPGANA_00115	CDS	501				hypothetical protein
OIPPGANA_00116	CDS	393				hypothetical protein
OIPPGANA_00117	CDS	2574				hypothetical protein
OIPPGANA_00118	CDS	2430				hypothetical protein
OIPPGANA_00119	CDS	261				hypothetical protein
OIPPGANA_00120	CDS	243				hypothetical protein
OIPPGANA_00121	CDS	960				hypothetical protein
OIPPGANA_00122	CDS	1002				hypothetical protein
OIPPGANA_00123	CDS	1926	infB		COG0532	putative translation initiation factor IF-2
OIPPGANA_00124	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
OIPPGANA_00125	CDS	198			COG2075	50S ribosomal protein L24e
OIPPGANA_00126	CDS	225			COG2053	30S ribosomal protein S28e
OIPPGANA_00127	CDS	297				hypothetical protein
OIPPGANA_00128	CDS	2565	ccsA			Cytochrome c biogenesis protein CcsA
OIPPGANA_00129	CDS	858				hypothetical protein
OIPPGANA_00130	CDS	1380				hypothetical protein
OIPPGANA_00131	CDS	1611	pccB_1	6.4.1.3		Propionyl-CoA carboxylase, carboxyltransferase subunit
OIPPGANA_00132	CDS	867		4.2.1.116	COG1024	3-hydroxypropionyl-coenzyme A dehydratase
OIPPGANA_00133	CDS	1509	pycA_1	6.4.1.1	COG0439	Pyruvate carboxylase subunit A
OIPPGANA_00134	CDS	471				hypothetical protein
OIPPGANA_00135	CDS	2754				hypothetical protein
OIPPGANA_00136	CDS	543				hypothetical protein
OIPPGANA_00137	CDS	294				hypothetical protein
OIPPGANA_00138	CDS	1419				hypothetical protein
OIPPGANA_00139	CDS	543				hypothetical protein
OIPPGANA_00140	CDS	186				hypothetical protein
OIPPGANA_00141	CDS	1914	ubiD_1	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
OIPPGANA_00142	CDS	1083				hypothetical protein
OIPPGANA_00143	CDS	783				hypothetical protein
OIPPGANA_00144	CDS	585				hypothetical protein
OIPPGANA_00145	CDS	804				hypothetical protein
OIPPGANA_00146	CDS	774	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
OIPPGANA_00147	CDS	318				hypothetical protein
OIPPGANA_00148	CDS	2052				hypothetical protein
OIPPGANA_00149	CDS	312				hypothetical protein
OIPPGANA_00150	CDS	564	atpE			V-type proton ATPase subunit E
OIPPGANA_00151	CDS	1218	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
OIPPGANA_00152	CDS	1116	obg	3.6.5.-		GTPase Obg
OIPPGANA_00153	CDS	441				hypothetical protein
