locus_tag	ftype	length_bp	gene	EC_number	COG	product
IONJEOBG_00001	CDS	1530	mntR_1			HTH-type transcriptional regulator MntR
IONJEOBG_00002	CDS	696	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
IONJEOBG_00003	CDS	294		2.8.1.-	COG0607	Sulfurtransferase
IONJEOBG_00004	CDS	2520				hypothetical protein
IONJEOBG_00005	CDS	918				hypothetical protein
IONJEOBG_00006	CDS	1296	dinF		COG0534	DNA damage-inducible protein F
IONJEOBG_00007	CDS	1011				hypothetical protein
IONJEOBG_00008	CDS	1233				hypothetical protein
IONJEOBG_00009	CDS	252				hypothetical protein
IONJEOBG_00010	CDS	1194		3.5.4.40	COG0402	Aminodeoxyfutalosine deaminase
IONJEOBG_00011	CDS	1326				hypothetical protein
IONJEOBG_00012	CDS	1302				hypothetical protein
IONJEOBG_00013	CDS	1089				hypothetical protein
IONJEOBG_00014	CDS	1323				hypothetical protein
IONJEOBG_00015	CDS	1230	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
IONJEOBG_00016	CDS	1284				hypothetical protein
IONJEOBG_00017	CDS	903	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
IONJEOBG_00018	CDS	876				hypothetical protein
IONJEOBG_00019	CDS	1557	comM		COG0606	Competence protein ComM
IONJEOBG_00020	CDS	813	aes	3.1.1.-	COG0657	Acetyl esterase
IONJEOBG_00021	CDS	696				hypothetical protein
IONJEOBG_00022	CDS	1038				hypothetical protein
IONJEOBG_00023	CDS	2031				hypothetical protein
IONJEOBG_00024	CDS	3048	yfeW_1	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
IONJEOBG_00025	CDS	1227	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
IONJEOBG_00026	CDS	357				hypothetical protein
IONJEOBG_00027	CDS	642		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
IONJEOBG_00028	CDS	888				hypothetical protein
IONJEOBG_00029	CDS	765	ppgK	2.7.1.63	COG1940	Polyphosphate glucokinase
IONJEOBG_00030	CDS	846	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
IONJEOBG_00031	CDS	1398	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
IONJEOBG_00032	CDS	900				hypothetical protein
IONJEOBG_00033	CDS	447				hypothetical protein
IONJEOBG_00034	CDS	528				hypothetical protein
IONJEOBG_00035	CDS	570	algU_1		COG1595	RNA polymerase sigma-H factor
IONJEOBG_00036	CDS	1296	xerC_1			Tyrosine recombinase XerC
IONJEOBG_00037	CDS	1572				hypothetical protein
IONJEOBG_00038	CDS	858				hypothetical protein
