locus_tag	ftype	length_bp	gene	EC_number	COG	product
IAGMGBJM_00001	CDS	1077	prfA		COG0216	Peptide chain release factor 1
IAGMGBJM_00002	CDS	1179	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
IAGMGBJM_00003	CDS	2187	glnA	6.3.1.2		Glutamine synthetase
IAGMGBJM_00004	CDS	1110	glnII	6.3.1.2	COG0174	Glutamine synthetase
IAGMGBJM_00005	CDS	573				hypothetical protein
IAGMGBJM_00006	CDS	387				hypothetical protein
IAGMGBJM_00007	CDS	1287	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
IAGMGBJM_00008	CDS	774		3.2.1.-	COG1388	Autolysin
IAGMGBJM_00009	CDS	891	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
IAGMGBJM_00010	CDS	2028	hutU	4.2.1.49		Urocanate hydratase
IAGMGBJM_00011	CDS	531				hypothetical protein
IAGMGBJM_00012	CDS	1071				hypothetical protein
IAGMGBJM_00013	CDS	2115	prc	3.4.21.102	COG0793	Tail-specific protease
IAGMGBJM_00014	CDS	777	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
IAGMGBJM_00015	CDS	294				hypothetical protein
IAGMGBJM_00016	CDS	1113	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
IAGMGBJM_00017	CDS	324				hypothetical protein
IAGMGBJM_00018	CDS	210				hypothetical protein
IAGMGBJM_00019	CDS	876				hypothetical protein
IAGMGBJM_00020	CDS	519	pdhB	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
IAGMGBJM_00021	CDS	1170				hypothetical protein
IAGMGBJM_00022	CDS	750				hypothetical protein
IAGMGBJM_00023	CDS	2910	susC_1			TonB-dependent receptor SusC
IAGMGBJM_00024	CDS	120				hypothetical protein
IAGMGBJM_00025	CDS	1050	degA		COG1609	HTH-type transcriptional regulator DegA
IAGMGBJM_00026	CDS	1422				hypothetical protein
IAGMGBJM_00027	CDS	660	pgmB_1	5.4.2.6	COG0637	Beta-phosphoglucomutase
IAGMGBJM_00028	CDS	2307	malP_1	2.4.1.8		Maltose phosphorylase
IAGMGBJM_00029	CDS	1929	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
IAGMGBJM_00030	CDS	921				hypothetical protein
IAGMGBJM_00031	CDS	2382		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
IAGMGBJM_00032	CDS	1422	glgE	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
IAGMGBJM_00033	CDS	1092	ganB_1	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
IAGMGBJM_00034	CDS	1038	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IAGMGBJM_00035	CDS	165				hypothetical protein
IAGMGBJM_00036	CDS	894				hypothetical protein
IAGMGBJM_00037	CDS	468				hypothetical protein
IAGMGBJM_00038	CDS	387				hypothetical protein
IAGMGBJM_00039	CDS	201	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
