locus_tag	ftype	length_bp	gene	EC_number	COG	product
ABHBIPII_00001	CDS	528	rpl5		COG0094	50S ribosomal protein L5
ABHBIPII_00002	CDS	669	rps4e		COG1471	30S ribosomal protein S4e
ABHBIPII_00003	CDS	408			COG0198	50S ribosomal protein L24
ABHBIPII_00004	CDS	399			COG0093	50S ribosomal protein L14
ABHBIPII_00005	CDS	336			COG0186	30S ribosomal protein S17
ABHBIPII_00006	CDS	744				hypothetical protein
ABHBIPII_00007	CDS	747				hypothetical protein
ABHBIPII_00008	CDS	402				hypothetical protein
ABHBIPII_00009	CDS	381				hypothetical protein
ABHBIPII_00010	CDS	1119				hypothetical protein
ABHBIPII_00011	CDS	651				hypothetical protein
ABHBIPII_00012	CDS	297				hypothetical protein
ABHBIPII_00013	CDS	174				hypothetical protein
ABHBIPII_00014	CDS	1002	fadB	5.3.3.8		Fatty acid oxidation complex subunit alpha
ABHBIPII_00015	CDS	942				hypothetical protein
ABHBIPII_00016	CDS	294				hypothetical protein
ABHBIPII_00017	CDS	555				hypothetical protein
ABHBIPII_00018	CDS	645				hypothetical protein
ABHBIPII_00019	CDS	1290				hypothetical protein
ABHBIPII_00020	CDS	255				hypothetical protein
ABHBIPII_00021	CDS	1074	ilvE	2.6.1.42	COG0115	Putative branched-chain-amino-acid aminotransferase
ABHBIPII_00022	CDS	459				hypothetical protein
ABHBIPII_00023	CDS	381	rps8e		COG2007	30S ribosomal protein S8e
ABHBIPII_00024	CDS	2313				hypothetical protein
ABHBIPII_00025	CDS	687			COG1136	putative ABC transporter ATP-binding protein
ABHBIPII_00026	CDS	252				hypothetical protein
ABHBIPII_00027	CDS	315	tatA			Sec-independent protein translocase protein TatA
ABHBIPII_00028	CDS	495				hypothetical protein
ABHBIPII_00029	CDS	609				hypothetical protein
ABHBIPII_00030	tRNA	76				tRNA-Glu(ttc)
ABHBIPII_00031	CDS	843				hypothetical protein
ABHBIPII_00032	CDS	498				hypothetical protein
ABHBIPII_00033	CDS	1620				hypothetical protein
ABHBIPII_00034	CDS	1149				hypothetical protein
ABHBIPII_00035	CDS	1239				hypothetical protein
ABHBIPII_00036	CDS	732				hypothetical protein
ABHBIPII_00037	CDS	270				hypothetical protein
ABHBIPII_00038	CDS	1527	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
ABHBIPII_00039	CDS	300			COG1911	50S ribosomal protein L30e
ABHBIPII_00040	CDS	396				hypothetical protein
ABHBIPII_00041	CDS	885				hypothetical protein
ABHBIPII_00042	CDS	3732				hypothetical protein
ABHBIPII_00043	CDS	576				hypothetical protein
ABHBIPII_00044	CDS	174				hypothetical protein
ABHBIPII_00045	CDS	489				hypothetical protein
ABHBIPII_00046	CDS	444				hypothetical protein
ABHBIPII_00047	CDS	669				hypothetical protein
ABHBIPII_00048	CDS	303				hypothetical protein
ABHBIPII_00049	CDS	1311	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ABHBIPII_00050	CDS	279				hypothetical protein
ABHBIPII_00051	CDS	552				hypothetical protein
ABHBIPII_00052	CDS	168				hypothetical protein
ABHBIPII_00053	CDS	777	rfcS_1		COG0470	Replication factor C small subunit
ABHBIPII_00054	CDS	2082	hppA1	7.2.3.-	COG3808	K(+)-stimulated pyrophosphate-energized sodium pump
ABHBIPII_00055	CDS	453				hypothetical protein
ABHBIPII_00056	CDS	528				hypothetical protein
ABHBIPII_00057	CDS	351	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ABHBIPII_00058	CDS	279				hypothetical protein
ABHBIPII_00059	CDS	534	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
ABHBIPII_00060	CDS	150				hypothetical protein
ABHBIPII_00061	CDS	843		4.2.1.116	COG1024	3-hydroxypropionyl-coenzyme A dehydratase
ABHBIPII_00062	CDS	495				hypothetical protein
ABHBIPII_00063	CDS	720				hypothetical protein
ABHBIPII_00064	CDS	930				hypothetical protein
ABHBIPII_00065	CDS	657		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
ABHBIPII_00066	CDS	372	crcB			Putative fluoride ion transporter CrcB
ABHBIPII_00067	CDS	420				hypothetical protein
ABHBIPII_00068	CDS	684			COG0533	putative bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein
ABHBIPII_00069	CDS	1155	nadA	2.5.1.72	COG0379	Quinolinate synthase A
ABHBIPII_00070	CDS	2094				hypothetical protein
ABHBIPII_00071	CDS	195				hypothetical protein
ABHBIPII_00072	CDS	468				hypothetical protein
ABHBIPII_00073	CDS	1446				hypothetical protein
ABHBIPII_00074	CDS	456				hypothetical protein
ABHBIPII_00075	CDS	708	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
ABHBIPII_00076	CDS	441	ribL	2.7.7.2	COG0615	FAD synthase
ABHBIPII_00077	CDS	603				hypothetical protein
ABHBIPII_00078	CDS	390	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
ABHBIPII_00079	CDS	930		1.18.1.2		Ferredoxin--NADP reductase
ABHBIPII_00080	CDS	438				hypothetical protein
ABHBIPII_00081	CDS	1164	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
ABHBIPII_00082	CDS	1053				hypothetical protein
ABHBIPII_00083	CDS	801				hypothetical protein
ABHBIPII_00084	CDS	2604	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
